title,link,description,bloggername,bloggerlink,postdate
인공지능(AI)시대 에너지 전략대화 - 샤일레시 미슈라... ,https://blog.naver.com/gevernova/224271735232,"공동으로 '인공지능(AI) 시대 에너지 전략대화' 행사를 개최했습니다. 유엔기후변화협약(UNFCCC)... 한편 샤일레시 미슈라, GE버노바 그리드솔루션 GSI(Grid Systems Integration) 아시아태평양 총괄은 인공지능(AI)... ",GE VERNOVA,blog.naver.com/gevernova,20260506
성인 대상 인공지능 AI 활용 사진·영상 편집 원데이클래스... ,https://blog.naver.com/sciport2016/224276439823,14.(목) 14시 ~  신청방법 : 국립부산과학관 개인교육프로그램  예매하러 가기   교육 문의 : 051-750-2341  교육 활동 : 인공지능 활용 사진 및 영상 편집  교육시간 (종일 수업) 오전 10:10 ~ 11:40 점심시간... ,국립부산과학관,blog.naver.com/sciport2016,20260506
2026년 인공지능 콘텐츠 제작지원(진입형_장르 융합) 재공고,https://blog.naver.com/ash1106/224275641374,경영 2026년 인공지능 콘텐츠 제작지원(진입형_장르 융합) 재공고 2026.05.04 소관부처·지자체... 기반 인공지능 콘텐츠 제작 및 초기 시장 진입 연계 지원 - 장르 융합 : 기존 문화 콘텐츠 장르 + 인공지능... ,"정책정보, 지원사업, 캠핑, 경제 등 우빗거리다",blog.naver.com/ash1106,20260505
발명인공지능교육원 발명둥지캠프' | 경주시 SNS 알리미 백혜련,https://blog.naver.com/gyeongju_e/224276710672,"직접 만들면서 배우는 과학원리, '경상북도교육청 발명인공지능교육원 발명둥지캠프' 안녕하세요 경주SNS알리미 백혜련입니다 가정의 달 5월을 맞이하여 경주 여기저기에서는 다양한 행사 축제를 만나볼 수... ",경주애♥ - 경주시 공식블로그,blog.naver.com/gyeongju_e,20260506
[보고서: &lt;생성형 인공지능의 저작물 학습에 대한 저작권법상... ,https://blog.naver.com/kpfjra_/224270140604,"인공지능은 2000년대 들어 발전된 인공신경망(Artificial Neural Network) 기술과 함께 발전해 왔다. 인간의 뇌를 모방한 인공신경망 기술은 2016년 알파고와 이세돌 9단의 바둑대국으로 화려한 등장을 알렸고, 그 후... ",신문과방송,blog.naver.com/kpfjra_,20260506
"사이버 보안 분야 인공지능(AI) 시장, 2035년 1,770억 달러... ",https://blog.naver.com/giikorea2/224276150737,"◈ 사이버 보안 분야 인공지능(AI) 시장 예측(2025-2035년) Global Artificial Intelligence (AI) in Cybersecurity Market, 2025-2035 ⊙ 리서치사 : Orion Market Research ⊙ 상품코드 : 2025159","(주)글로벌인포메이션-반도체,통신,화학소재,에너지",blog.naver.com/giikorea2,20260506
인공지능과의 대화 - 에피오피아 제국군과 마사이족 전사들의... ,https://blog.naver.com/ditangpagua/224274770286,그래서 일단은 인공지능에게 물어보기로 했다. 옛날 마사이족의 전체 병력과 전투력은 에피오피아 같은 제국과 전쟁을 할 정도 수준이 되었는가? 일단 인공지능의 답변은 마사지족이 주변 부족을 압도하는... ,호반에서 다시 만나다,blog.naver.com/ditangpagua,20260504
AI EXPO KOREA 2026(국제인공지능대전)에서 YH데이타베이스가... ,https://blog.naver.com/yhdbdev/224276270086,(국제인공지능대전)에 참가합니다! 기업 업무 현장에 즉시 적용 가능한 AI 에이전트와 업무의... AI EXPO KOREA 2026 2026 국제인공지능대전 올해는 더 많은 분들이 AI COEX 전시장을 찾아주시고... ,YH데이타베이스,blog.naver.com/yhdbdev,20260506
✨ 제4회 문화체육관광 인공지능·데이터 활용 공모전 안내,https://blog.naver.com/wowjejusi/224276431971,✨ 제4회 문화체육관광 인공지능·데이터 활용 공모전 안내 문화·체육·관광 분야의 디지털 혁신을... 공모전 개요 ✔ 공 모 명 제4회 문화체육관광 인공지능·데이터 활용 공모전 ✔ 주최/주관... ,제주시청 공식 블로그,blog.naver.com/wowjejusi,20260506
2026 인공지능 콘텐츠 제작지원 (선도형),https://blog.naver.com/echupark/224276852076,2026 인공지능 콘텐츠 제작지원 (선도형) 이 사업은 이사장님의 '장구 연주 여인'과 같은 고품질 AI 아트가 글로벌 성과를 낼 수 있도록 돕는 가장 강력한 카드입니다. 지원 내용: 인공지능 기술 기반의... ,Digital Art studio by echuPark,blog.naver.com/echupark,20260506
