review,label
부산 행 때문 너무 기대하고 봤,0
한국 좀비 영화 어색하지 않게 만들어졌 놀랍,1
조금 전 보고 왔 지루하다 언제 끝나 이 생각 드,0
평 밥 끼 먹자 돈 니 내고 미친 놈 정신사 좀 알 싶어 그래 밥 먹다 먹던 숟가락 대가리 존나 때릴 지도 모르 일단 면상 확인하고 싶다 전화번호 남겨 놔 진짜,1
점수 대가 과 이 엑소 팬 어중간 점수 줄리 없겠 클레멘타인 이후 최고 평점 조작 영화 아닐 생각 드네,0
평점 너무 높 공감 이해 안되는 스토리,0
경 각심 일 깨워 준 영화 였,1
예수 어딨 정신 나간 것,0
박평 찐 따 점 줘 본,0
그냥 류 승범 영화 간만 봐 결제 보는 개연 성도 없고 보디가드 발연기 뜬근없 류승범 어머니 빙의 연기 함 청소년 드라마 주연 하는 실력 요즘 독립영화 못 수준 임 영화 전체,0
박평식 무려 점 주셨,0
실화 하니 우리 현실 비교 되 먹 먹 집니 끝 남아 탈출 돕던 기장 승무원 구조 대원 발 빠른 대처 그날 우리 아이 너무나 미안한 마음 들 만드는 영화 입니,1
현 정치 판 꼬 보면 분통 터지는 요런 영화 보고 좀 사이다 황정민 강동 원기 연기 케미 좋 이성민 박성웅 연기 좋 굿,1
노잼 핵 지루 역사왜곡,0
넋 놓 봄 원작 본 사람 더욱 추천하는 영화,1
로맨스 영화 위장 정작 존엄사 자살 행위 고통 받는 이 옳은 선택 일 수도 있다 멍청하고 잘못된 메세지 관객 우롱 하는 영화 부모 잘못된 길 알 자식 원하니 그냥 가도 내버려 두는 것 사랑 아니 무관심 방치,0
풍부하 케재미잏 풍부하게 재밌다,1
재밌어 꼭 장가 보세,1
어 보다 졸았 속편 좀,0
말 궁 시렁 많고 범인 여성부,0
간 꿀 잼 염 다음 편도 기대하 능,1
조금 전 영화 보고 왔 재난 영화 중 가장 현실 잘 반영한 영화 생각 들었 가족 생각 눈물 멈추지 않았 영화 볼거리 많고 많은 사람 봤 좋 한국 원전 현실 알 있 듯,1
조금 지루한 면 있네 내용 내용 임,0
허세 남발 꽃미남 강동원 솔직히 검은 사제 같은 연기 보다 이런 연기 더 어울리는 이번 영화 진짜 잘 초이스 것 같다,1
이런 분 계셔 현재 우리 있 음 감사 드린 봤,1
개꿀잼 이런 영화 다시 없,1
전편 봤 요즘 이 영화 흥행 한 봤 캡틴 아메리카 아이언맨 작작 싸워 캡틴 기적 캡틴 무기 자기 아빠 만 들어줬 넌 가질 자격 없다 아이언맨 찌 난 어벤져스 힘 합쳐 악당 제압 하는 영화인 줄 돈 아깝,0
점 너무 티난 무서워 안경 벗은 아니 봐 되 안경 벗고 나온,0
오 연기 대박 진짜,1
어 긋 사랑 비극 표현했 소율 슬픔 표현한 한효주 연기 너무 좋,1
따 시선 능글 하게 웃으 울며 분노 하며 서민 대변 하여 외치 한마디 한마디 그리워 다시 한번 따뜻한 인간 노무현 돌아보게 되는 시간,1
뭘 말하고 모르,0
믿고 보는 마 형님 입니,1
배성우 살리 영화 차태현 는 빅토리아 어설픈 연기 발음 소름 끼 개연 없는 스토리 어이 없고 시간 돈 아깝,0
흥행 요소 를 갖춘 코미디 영화 생각해 꿀꿀할 때 보면 이라 생각합,1
평가 내일 죽으 보러 갈 영화 길 로맨스 별로 좋아하지 노래 듣자 해서 봤 진짜 노래 좋 엔딩 좋 그냥 뭔가 지루했,0
뭐 웃기 건지 삼십분 보고 포기했 첨부 터 웃기 사람 알바 첨 루게릭병 걸린 애가 오줌 싸는 그게 웃김 평점 속앗음,0
학창시절 지나 온 사람 라면 이영화 보고 눈물 흘릴 없다,1
영화 보면 할 말 참 많은 할 없게 만드는 영화 기자 평론가 평점 왜 낮은 이해 가감 가족 감정 쥐 짜 지겹 않,0
